,time,steps,average_score
0,321.0,10000.0,0.93
1,653.0,20000.0,1.72
2,986.0,30000.0,0.5
3,1318.0,40000.0,0.94
4,1652.0,50000.0,0.35
5,1994.0,60000.0,0.82
6,2345.0,70000.0,1.02
7,2697.0,80000.0,0.55
8,3050.0,90000.0,1.24
9,3403.0,100000.0,0.67
10,3758.0,110000.0,1.59
11,4111.0,120000.0,1.15
12,4465.0,130000.0,1.34
13,4818.0,140000.0,1.37
14,5173.0,150000.0,1.42
15,5528.0,160000.0,1.98
16,5884.0,170000.0,2.98
17,6241.0,180000.0,6.03
18,6598.0,190000.0,7.15
19,6955.0,200000.0,7.12
20,7315.0,210000.0,6.68
21,7674.0,220000.0,8.9
22,8033.0,230000.0,8.94
23,8394.0,240000.0,9.92
24,8755.0,250000.0,9.17
25,9115.0,260000.0,8.71
26,9476.0,270000.0,8.72
27,9837.0,280000.0,11.15
28,10197.0,290000.0,11.37
29,10557.0,300000.0,9.45
30,10918.0,310000.0,11.39
31,11279.0,320000.0,15.63
32,11640.0,330000.0,16.37
33,12000.0,340000.0,15.64
34,12361.0,350000.0,13.48
35,12722.0,360000.0,18.04
36,13084.0,370000.0,20.31
37,13445.0,380000.0,21.84
38,13806.0,390000.0,19.06
39,14170.0,400000.0,26.99
40,14541.0,410000.0,17.04
41,14901.0,420000.0,17.23
42,15262.0,430000.0,23.85
43,15624.0,440000.0,20.72
44,15985.0,450000.0,20.82
45,16346.0,460000.0,27.26
46,16707.0,470000.0,24.64
47,17070.0,480000.0,30.17
48,17431.0,490000.0,30.46
49,17792.0,500000.0,21.32
50,18155.0,510000.0,22.26
51,18517.0,520000.0,23.22
52,18878.0,530000.0,21.6
53,19240.0,540000.0,25.64
54,19602.0,550000.0,26.23
55,19965.0,560000.0,31.16
56,20326.0,570000.0,32.93
57,20688.0,580000.0,32.88
58,21052.0,590000.0,29.27
59,21416.0,600000.0,27.79
60,21784.0,610000.0,30.85
61,22148.0,620000.0,25.54
62,22513.0,630000.0,26.97
63,22878.0,640000.0,24.21
64,23243.0,650000.0,26.9
65,23608.0,660000.0,34.21
66,23973.0,670000.0,28.06
67,24340.0,680000.0,31.61
68,24705.0,690000.0,27.77
69,25070.0,700000.0,32.99
70,25436.0,710000.0,24.65
71,25801.0,720000.0,30.5
72,26166.0,730000.0,35.42
73,26534.0,740000.0,30.98
74,26901.0,750000.0,35.87
75,27267.0,760000.0,37.95
76,27633.0,770000.0,36.26
77,28000.0,780000.0,35.82
78,28367.0,790000.0,31.53
79,28733.0,800000.0,33.66
80,29100.0,810000.0,32.4
81,29471.0,820000.0,39.14
82,29843.0,830000.0,37.87
83,30215.0,840000.0,36.5
84,30586.0,850000.0,38.02
85,30955.0,860000.0,33.5
86,31321.0,870000.0,39.58
87,31688.0,880000.0,35.44
88,32054.0,890000.0,38.37
89,32426.0,900000.0,38.73
