,time,score
0,81.0,34.9
1,81.0,39.37
2,80.0,39.41
3,80.0,37.45
4,80.0,38.56
5,80.0,39.11
6,80.0,34.77
7,80.0,37.1
8,80.0,39.59
9,80.0,36.98
10,80.0,35.39
11,80.0,37.78
12,80.0,39.45
13,80.0,38.59
14,80.0,39.17
15,80.0,39.45
16,80.0,34.9
17,80.0,38.89
18,80.0,38.85
19,80.0,39.38
20,80.0,26.11
21,80.0,34.98
22,80.0,29.46
23,80.0,36.34
24,80.0,37.19
25,80.0,39.19
26,80.0,36.61
27,80.0,39.44
28,80.0,37.02
29,80.0,37.55
30,80.0,37.04
31,80.0,36.97
32,80.0,34.63
33,80.0,39.61
34,80.0,36.27
35,83.0,36.3
36,80.0,38.51
37,80.0,36.48
38,80.0,34.68
39,80.0,39.38
40,80.0,35.84
41,80.0,36.32
42,80.0,36.56
43,80.0,34.32
44,80.0,37.83
45,80.0,37.98
46,80.0,39.41
47,80.0,38.76
48,80.0,39.58
49,80.0,35.05
50,80.0,38.91
51,80.0,39.4
52,80.0,39.61
53,80.0,36.41
54,80.0,36.69
55,80.0,39.58
56,80.0,38.94
57,80.0,39.2
58,80.0,38.55
59,80.0,39.38
60,80.0,36.99
61,80.0,35.03
62,80.0,37.65
63,80.0,24.89
64,80.0,37.18
65,80.0,35.49
66,80.0,38.35
67,80.0,38.22
68,80.0,36.48
69,80.0,39.6
70,80.0,39.34
71,80.0,35.38
72,80.0,39.55
73,80.0,36.93
74,80.0,37.79
75,80.0,35.44
76,80.0,35.56
77,80.0,38.39
78,80.0,35.39
79,80.0,36.87
80,80.0,34.88
81,80.0,38.02
82,80.0,36.81
83,80.0,31.82
84,80.0,26.42
85,80.0,36.85
86,80.0,36.68
87,80.0,31.94
88,80.0,39.56
89,80.0,36.19
90,80.0,39.25
91,80.0,34.94
92,80.0,38.5
93,80.0,38.35
94,80.0,34.97
95,80.0,34.74
96,80.0,39.44
97,80.0,37.73
98,80.0,36.09
99,80.0,36.7
