,time,steps,average_score
0,412.0,10000.0,0.8
1,819.0,20000.0,0.76
2,1260.0,30000.0,0.45
3,1677.0,40000.0,0.46
4,2092.0,50000.0,0.46
5,2515.0,60000.0,0.67
6,2957.0,70000.0,0.43
7,3403.0,80000.0,0.49
8,3844.0,90000.0,0.52
9,4290.0,100000.0,0.28
10,4736.0,110000.0,0.46
11,5190.0,120000.0,0.35
12,5641.0,130000.0,0.42
13,6094.0,140000.0,0.39
14,6549.0,150000.0,0.26
15,7003.0,160000.0,0.41
16,7458.0,170000.0,0.41
17,7912.0,180000.0,0.59
18,8367.0,190000.0,0.61
19,8821.0,200000.0,0.54
20,9275.0,210000.0,0.27
21,9729.0,220000.0,0.42
22,10186.0,230000.0,0.59
23,10641.0,240000.0,0.35
24,11097.0,250000.0,0.24
25,11554.0,260000.0,0.54
26,12008.0,270000.0,0.65
27,12462.0,280000.0,0.18
28,12914.0,290000.0,0.55
29,13366.0,300000.0,0.8
30,13819.0,310000.0,0.54
31,14270.0,320000.0,0.34
32,14723.0,330000.0,0.39
33,15178.0,340000.0,0.29
34,15632.0,350000.0,0.37
35,16087.0,360000.0,0.52
36,16542.0,370000.0,0.12
37,16998.0,380000.0,0.53
38,17452.0,390000.0,0.51
39,17907.0,400000.0,0.33
40,18361.0,410000.0,0.44
41,18816.0,420000.0,0.37
42,19272.0,430000.0,0.53
43,19728.0,440000.0,0.33
44,20183.0,450000.0,0.38
45,20639.0,460000.0,0.46
46,21117.0,470000.0,0.39
47,21601.0,480000.0,0.5
48,22056.0,490000.0,0.35
49,22512.0,500000.0,0.37
50,22967.0,510000.0,0.47
51,23423.0,520000.0,0.3
52,23878.0,530000.0,0.47
53,24334.0,540000.0,0.41
54,24789.0,550000.0,0.31
55,25244.0,560000.0,0.76
56,25700.0,570000.0,0.42
57,26156.0,580000.0,0.44
58,26613.0,590000.0,0.59
59,27069.0,600000.0,0.61
60,27525.0,610000.0,0.29
61,27982.0,620000.0,0.42
62,28438.0,630000.0,0.33
63,28893.0,640000.0,0.52
64,29350.0,650000.0,0.58
65,29805.0,660000.0,0.44
66,30261.0,670000.0,0.28
67,30716.0,680000.0,0.44
68,31173.0,690000.0,0.43
69,31630.0,700000.0,0.47
70,32087.0,710000.0,0.35
71,32546.0,720000.0,0.42
72,33005.0,730000.0,0.27
73,33465.0,740000.0,0.3
74,33924.0,750000.0,0.58
75,34383.0,760000.0,0.31
76,34844.0,770000.0,0.65
77,35304.0,780000.0,0.3
78,35764.0,790000.0,0.23
79,36224.0,800000.0,0.46
80,36684.0,810000.0,0.69
81,37143.0,820000.0,0.52
82,37604.0,830000.0,0.4
83,38064.0,840000.0,0.58
84,38525.0,850000.0,0.36
85,38988.0,860000.0,0.46
